,name,food_link,drink_link
159,相席屋　仙台国分町店,https://www.hotpepper.jp/strJ001128125/food/,https://www.hotpepper.jp/strJ001128125/drink/
160,大衆料理　魚しげ,https://www.hotpepper.jp/strJ000973806/food/,https://www.hotpepper.jp/strJ000973806/drink/
161,みょうがや,https://www.hotpepper.jp/strJ000276903/food/,https://www.hotpepper.jp/strJ000276903/drink/
162,おのちゃん,https://www.hotpepper.jp/strJ000027869/food/,https://www.hotpepper.jp/strJ000027869/drink/
163,壱盛　(いっせい）,https://www.hotpepper.jp/strJ000761856/food/,https://www.hotpepper.jp/strJ000761856/drink/
164,ＲＥＳＴＡＵＲＡＮＴ　ＢＡＲ　牧水　bokusui,https://www.hotpepper.jp/strJ000806415/food/,https://www.hotpepper.jp/strJ000806415/drink/
165,EMANON,https://www.hotpepper.jp/strJ000666336/food/,https://www.hotpepper.jp/strJ000666336/drink/
166,炭火和房　へそ家,https://www.hotpepper.jp/strJ000057632/food/,https://www.hotpepper.jp/strJ000057632/drink/
167,焼鳥ダイニング　いただきコッコちゃん　サンモール店,https://www.hotpepper.jp/strJ000651783/food/,https://www.hotpepper.jp/strJ000651783/drink/
168,居酒屋　螢,https://www.hotpepper.jp/strJ001178935/food/,https://www.hotpepper.jp/strJ001178935/drink/
169,Bar Lounge 欅　（けやき）,https://www.hotpepper.jp/strJ000637950/food/,https://www.hotpepper.jp/strJ000637950/drink/
170,やんちゃぼうず,https://www.hotpepper.jp/strJ000697214/food/,https://www.hotpepper.jp/strJ000697214/drink/
171,龍　仙台店,https://www.hotpepper.jp/strJ000661853/food/,https://www.hotpepper.jp/strJ000661853/drink/
172,牛たん炭焼　利久　市役所前店,https://www.hotpepper.jp/strJ000661843/food/,https://www.hotpepper.jp/strJ000661843/drink/
173,炭火はらみ専門居酒屋　福光,https://www.hotpepper.jp/strJ000989143/food/,https://www.hotpepper.jp/strJ000989143/drink/
174,焼鳥ダイニング　いただきコッコちゃん　マーブルロード店,https://www.hotpepper.jp/strJ000063548/food/,https://www.hotpepper.jp/strJ000063548/drink/
175,秀喜,https://www.hotpepper.jp/strJ000796807/food/,https://www.hotpepper.jp/strJ000796807/drink/
176,だてまち　みさと,https://www.hotpepper.jp/strJ000739850/food/,https://www.hotpepper.jp/strJ000739850/drink/
177,鰊御殿　1号店,https://www.hotpepper.jp/strJ000278650/food/,https://www.hotpepper.jp/strJ000278650/drink/
178,Ａ－ＢOO　（アブー）,https://www.hotpepper.jp/strJ000061094/food/,https://www.hotpepper.jp/strJ000061094/drink/
179,てる,https://www.hotpepper.jp/strJ000989063/food/,https://www.hotpepper.jp/strJ000989063/drink/
180,てる,https://www.hotpepper.jp/strJ000989063/food/,https://www.hotpepper.jp/strJ000989063/drink/
181,牛たん　一福,https://www.hotpepper.jp/strJ000100947/food/,https://www.hotpepper.jp/strJ000100947/drink/
182,唄屋,https://www.hotpepper.jp/strJ000742794/food/,https://www.hotpepper.jp/strJ000742794/drink/
183,EMANON,https://www.hotpepper.jp/strJ000666336/food/,https://www.hotpepper.jp/strJ000666336/drink/
184,大町へそのを,https://www.hotpepper.jp/strJ000655937/food/,https://www.hotpepper.jp/strJ000655937/drink/
185,壱盛　(いっせい）,https://www.hotpepper.jp/strJ000761856/food/,https://www.hotpepper.jp/strJ000761856/drink/
186,囲酒屋　めったら家,https://www.hotpepper.jp/strJ001100891/food/,https://www.hotpepper.jp/strJ001100891/drink/
187,Bar Lounge 欅　（けやき）,https://www.hotpepper.jp/strJ000637950/food/,https://www.hotpepper.jp/strJ000637950/drink/
188,BAR CIPHER　(バー サイファ),https://www.hotpepper.jp/strJ000724139/food/,https://www.hotpepper.jp/strJ000724139/drink/
189,和ダイニング　V31(ブイサイン),https://www.hotpepper.jp/strJ001185165/food/,https://www.hotpepper.jp/strJ001185165/drink/
190,GOLTO　GOLF＆PARTYSPACE,https://www.hotpepper.jp/strJ001142930/food/,https://www.hotpepper.jp/strJ001142930/drink/
191,備長炭火やきとりと竃めし　酉や喜兵衛　仙台店,https://www.hotpepper.jp/strJ001039508/food/,https://www.hotpepper.jp/strJ001039508/drink/
192,おのちゃん,https://www.hotpepper.jp/strJ000027869/food/,https://www.hotpepper.jp/strJ000027869/drink/
193,斎太郎,https://www.hotpepper.jp/strJ000278618/food/,https://www.hotpepper.jp/strJ000278618/drink/
194,だてまち　みさと,https://www.hotpepper.jp/strJ000739850/food/,https://www.hotpepper.jp/strJ000739850/drink/
195,炭火串焼　さんだぁばーど,https://www.hotpepper.jp/strJ000026534/food/,https://www.hotpepper.jp/strJ000026534/drink/
196,遊食酒家 飛ん風村,https://www.hotpepper.jp/strJ000655932/food/,https://www.hotpepper.jp/strJ000655932/drink/
197,和ごころ 元　癒酒家,https://www.hotpepper.jp/strJ000636744/food/,https://www.hotpepper.jp/strJ000636744/drink/
198,見聞録 リッチフィールド店,https://www.hotpepper.jp/strJ000026988/food/,https://www.hotpepper.jp/strJ000026988/drink/
199,総本家 やまこう,https://www.hotpepper.jp/strJ000276928/food/,https://www.hotpepper.jp/strJ000276928/drink/
